,movie_title,movie_stars,movie_ratings,release_year,movie_duration,movie_url
0, The Shawshank Redemption,9.3†,2800000,1994,2h 22m,https://www.imdb.com/title/tt0111161/?ref_=chttp_i_1
1, The Godfather,9.2†,200000,1972,2h 55m,https://www.imdb.com/title/tt0068646/?ref_=chttp_i_2
2, The Dark Knight,9.0†,2800000,2008,2h 32m,https://www.imdb.com/title/tt0468569/?ref_=chttp_i_3
3, The Godfather: Part II,9.0†,1300000,1974,3h 22m,https://www.imdb.com/title/tt0071562/?ref_=chttp_i_4
4, 12 Angry Men,9.0†,843000,1957,1h 36m,https://www.imdb.com/title/tt0050083/?ref_=chttp_i_5
5, Schindler's List,9.0†,1400000,1993,3h 15m,https://www.imdb.com/title/tt0108052/?ref_=chttp_i_6
6, The Lord of the Rings: The Return of the King,9.0†,1900000,2003,3h 21m,https://www.imdb.com/title/tt0167260/?ref_=chttp_i_7
7, Pulp Fiction,8.9†,2200000,1994,2h 34m,https://www.imdb.com/title/tt0110912/?ref_=chttp_i_8
8, The Lord of the Rings: The Fellowship of the Ring,8.8†,200000,2001,2h 58m,https://www.imdb.com/title/tt0120737/?ref_=chttp_i_9
9," Il Buono, Il Brutto, Il Cattivo",8.8†,797000,1966,2h 41m,https://www.imdb.com/title/tt0060196/?ref_=chttp_i_10
10, Forrest Gump,8.8†,2200000,1994,2h 22m,https://www.imdb.com/title/tt0109830/?ref_=chttp_i_11
11, Fight Club,8.8†,2300000,1999,2h 19m,https://www.imdb.com/title/tt0137523/?ref_=chttp_i_12
12, The Lord of the Rings: The Two Towers,8.8†,1700000,2002,2h 59m,https://www.imdb.com/title/tt0167261/?ref_=chttp_i_13
13, Inception,8.8†,2500000,2010,2h 28m,https://www.imdb.com/title/tt1375666/?ref_=chttp_i_14
14, Star Wars: Episode V - The Empire Strikes Back,8.7†,1400000,1980,2h 4m,https://www.imdb.com/title/tt0080684/?ref_=chttp_i_15
15, The Matrix,8.7†,200000,1999,2h 16m,https://www.imdb.com/title/tt0133093/?ref_=chttp_i_16
16, GoodFellas,8.7†,1200000,1990,2h 25m,https://www.imdb.com/title/tt0099685/?ref_=chttp_i_17
17, One Flew Over the Cuckoo's Nest,8.7†,1100000,1975,2h 13m,https://www.imdb.com/title/tt0073486/?ref_=chttp_i_18
18, Se7en,8.6†,1800000,1995,2h 7m,https://www.imdb.com/title/tt0114369/?ref_=chttp_i_19
19, It's a Wonderful Life,8.6†,484000,1946,2h 10m,https://www.imdb.com/title/tt0038650/?ref_=chttp_i_20
20, Shichinin No Samurai,8.6†,361000,1954,3h 27m,https://www.imdb.com/title/tt0047478/?ref_=chttp_i_21
21, Interstellar,8.7†,200000,2014,2h 49m,https://www.imdb.com/title/tt0816692/?ref_=chttp_i_22
22, The Silence of the Lambs,8.6†,1500000,1991,1h 58m,https://www.imdb.com/title/tt0102926/?ref_=chttp_i_23
23, Saving Private Ryan,8.6†,1500000,1998,2h 49m,https://www.imdb.com/title/tt0120815/?ref_=chttp_i_24
